,SubjectID1,SubjectID2,Group1,Group2,Distance,Group3
2402,CO1-P1-S1-16s_S42,MS1-P4-S1-16s_S33,Dry,Wet,0.9882,DryWet
2403,CO1-P1-S1-16s_S42,MS1-P5-S1-16s_S34,Dry,Wet,0.9762,DryWet
2404,CO1-P1-S1-16s_S42,MS1-P6-S1-16s_S35,Dry,Wet,0.985133333,DryWet
2468,CO1-P2-S1-16s_S43,MS1-P4-S1-16s_S33,Dry,Wet,0.990733333,DryWet
2469,CO1-P2-S1-16s_S43,MS1-P5-S1-16s_S34,Dry,Wet,0.981933333,DryWet
2470,CO1-P2-S1-16s_S43,MS1-P6-S1-16s_S35,Dry,Wet,0.9854,DryWet
2534,CO1-P3-S1-16s_S44,MS1-P4-S1-16s_S33,Dry,Wet,0.993133333,DryWet
2535,CO1-P3-S1-16s_S44,MS1-P5-S1-16s_S34,Dry,Wet,0.988533333,DryWet
2536,CO1-P3-S1-16s_S44,MS1-P6-S1-16s_S35,Dry,Wet,0.991133333,DryWet
2600,CO1-P4-S1-16s_S45,MS1-P4-S1-16s_S33,Dry,Wet,0.983466667,DryWet
2601,CO1-P4-S1-16s_S45,MS1-P5-S1-16s_S34,Dry,Wet,0.9636,DryWet
2602,CO1-P4-S1-16s_S45,MS1-P6-S1-16s_S35,Dry,Wet,0.978666667,DryWet
2666,CO1-P5-S1-16s_S46,MS1-P4-S1-16s_S33,Dry,Wet,0.989866667,DryWet
2667,CO1-P5-S1-16s_S46,MS1-P5-S1-16s_S34,Dry,Wet,0.969533333,DryWet
2668,CO1-P5-S1-16s_S46,MS1-P6-S1-16s_S35,Dry,Wet,0.990933333,DryWet
2732,CO1-P6-S1-16s_S47,MS1-P4-S1-16s_S33,Dry,Wet,0.989933333,DryWet
2733,CO1-P6-S1-16s_S47,MS1-P5-S1-16s_S34,Dry,Wet,0.976266667,DryWet
2734,CO1-P6-S1-16s_S47,MS1-P6-S1-16s_S35,Dry,Wet,0.982333333,DryWet
2419,CO1-P1-S1-16s_S42,TX2-P1-S1-16s_S72,Dry,Wet,0.978733333,DryWet
2420,CO1-P1-S1-16s_S42,TX2-P2-S1-16s_S73,Dry,Wet,0.965266667,DryWet
2421,CO1-P1-S1-16s_S42,TX2-P3-S1-16s_S74,Dry,Wet,0.982,DryWet
2422,CO1-P1-S1-16s_S42,TX2-P4-S1-16s_S75,Dry,Wet,0.9688,DryWet
2423,CO1-P1-S1-16s_S42,TX2-P5-S1-16s_S76,Dry,Wet,0.9792,DryWet
2424,CO1-P1-S1-16s_S42,TX2-P6-S2-16s_S77,Dry,Wet,0.971466667,DryWet
2485,CO1-P2-S1-16s_S43,TX2-P1-S1-16s_S72,Dry,Wet,0.984733333,DryWet
2486,CO1-P2-S1-16s_S43,TX2-P2-S1-16s_S73,Dry,Wet,0.967666667,DryWet
2487,CO1-P2-S1-16s_S43,TX2-P3-S1-16s_S74,Dry,Wet,0.986,DryWet
2488,CO1-P2-S1-16s_S43,TX2-P4-S1-16s_S75,Dry,Wet,0.976733333,DryWet
2489,CO1-P2-S1-16s_S43,TX2-P5-S1-16s_S76,Dry,Wet,0.9826,DryWet
2490,CO1-P2-S1-16s_S43,TX2-P6-S2-16s_S77,Dry,Wet,0.9746,DryWet
2551,CO1-P3-S1-16s_S44,TX2-P1-S1-16s_S72,Dry,Wet,0.992466667,DryWet
2552,CO1-P3-S1-16s_S44,TX2-P2-S1-16s_S73,Dry,Wet,0.983133333,DryWet
2553,CO1-P3-S1-16s_S44,TX2-P3-S1-16s_S74,Dry,Wet,0.995733333,DryWet
2554,CO1-P3-S1-16s_S44,TX2-P4-S1-16s_S75,Dry,Wet,0.961866667,DryWet
2555,CO1-P3-S1-16s_S44,TX2-P5-S1-16s_S76,Dry,Wet,0.993333333,DryWet
2556,CO1-P3-S1-16s_S44,TX2-P6-S2-16s_S77,Dry,Wet,0.983466667,DryWet
2617,CO1-P4-S1-16s_S45,TX2-P1-S1-16s_S72,Dry,Wet,0.985666667,DryWet
2618,CO1-P4-S1-16s_S45,TX2-P2-S1-16s_S73,Dry,Wet,0.9792,DryWet
2619,CO1-P4-S1-16s_S45,TX2-P3-S1-16s_S74,Dry,Wet,0.988133333,DryWet
2620,CO1-P4-S1-16s_S45,TX2-P4-S1-16s_S75,Dry,Wet,0.9846,DryWet
2621,CO1-P4-S1-16s_S45,TX2-P5-S1-16s_S76,Dry,Wet,0.984533333,DryWet
2622,CO1-P4-S1-16s_S45,TX2-P6-S2-16s_S77,Dry,Wet,0.986933333,DryWet
2683,CO1-P5-S1-16s_S46,TX2-P1-S1-16s_S72,Dry,Wet,0.992866667,DryWet
2684,CO1-P5-S1-16s_S46,TX2-P2-S1-16s_S73,Dry,Wet,0.987733333,DryWet
2685,CO1-P5-S1-16s_S46,TX2-P3-S1-16s_S74,Dry,Wet,0.995133333,DryWet
2686,CO1-P5-S1-16s_S46,TX2-P4-S1-16s_S75,Dry,Wet,0.987533333,DryWet
2687,CO1-P5-S1-16s_S46,TX2-P5-S1-16s_S76,Dry,Wet,0.9928,DryWet
2688,CO1-P5-S1-16s_S46,TX2-P6-S2-16s_S77,Dry,Wet,0.9874,DryWet
2749,CO1-P6-S1-16s_S47,TX2-P1-S1-16s_S72,Dry,Wet,0.994866667,DryWet
2750,CO1-P6-S1-16s_S47,TX2-P2-S1-16s_S73,Dry,Wet,0.9858,DryWet
2751,CO1-P6-S1-16s_S47,TX2-P3-S1-16s_S74,Dry,Wet,0.995333333,DryWet
2752,CO1-P6-S1-16s_S47,TX2-P4-S1-16s_S75,Dry,Wet,0.991533333,DryWet
2753,CO1-P6-S1-16s_S47,TX2-P5-S1-16s_S76,Dry,Wet,0.988866667,DryWet
2754,CO1-P6-S1-16s_S47,TX2-P6-S2-16s_S77,Dry,Wet,0.979666667,DryWet
4646,NM1-P1-S1-16s_S36,MS1-P4-S1-16s_S33,Dry,Wet,0.996533333,DryWet
4647,NM1-P1-S1-16s_S36,MS1-P5-S1-16s_S34,Dry,Wet,0.973266667,DryWet
4648,NM1-P1-S1-16s_S36,MS1-P6-S1-16s_S35,Dry,Wet,0.994733333,DryWet
4712,NM1-P2-S1-16s_S37,MS1-P4-S1-16s_S33,Dry,Wet,0.987333333,DryWet
4713,NM1-P2-S1-16s_S37,MS1-P5-S1-16s_S34,Dry,Wet,0.960066667,DryWet
4714,NM1-P2-S1-16s_S37,MS1-P6-S1-16s_S35,Dry,Wet,0.968733333,DryWet
4778,NM1-P3-S1-16s_S38,MS1-P4-S1-16s_S33,Dry,Wet,0.994266667,DryWet
4779,NM1-P3-S1-16s_S38,MS1-P5-S1-16s_S34,Dry,Wet,0.975933333,DryWet
4780,NM1-P3-S1-16s_S38,MS1-P6-S1-16s_S35,Dry,Wet,0.985333333,DryWet
4844,NM1-P4-S1-16s_S39,MS1-P4-S1-16s_S33,Dry,Wet,0.9938,DryWet
4845,NM1-P4-S1-16s_S39,MS1-P5-S1-16s_S34,Dry,Wet,0.974733333,DryWet
4846,NM1-P4-S1-16s_S39,MS1-P6-S1-16s_S35,Dry,Wet,0.9872,DryWet
4910,NM1-P5-S1-16s_S40,MS1-P4-S1-16s_S33,Dry,Wet,0.990733333,DryWet
4911,NM1-P5-S1-16s_S40,MS1-P5-S1-16s_S34,Dry,Wet,0.976333333,DryWet
4912,NM1-P5-S1-16s_S40,MS1-P6-S1-16s_S35,Dry,Wet,0.9832,DryWet
4976,NM1-P6-S1-16s_S41,MS1-P4-S1-16s_S33,Dry,Wet,0.9976,DryWet
4977,NM1-P6-S1-16s_S41,MS1-P5-S1-16s_S34,Dry,Wet,0.978933333,DryWet
4978,NM1-P6-S1-16s_S41,MS1-P6-S1-16s_S35,Dry,Wet,0.983066667,DryWet
4663,NM1-P1-S1-16s_S36,TX2-P1-S1-16s_S72,Dry,Wet,0.9992,DryWet
4664,NM1-P1-S1-16s_S36,TX2-P2-S1-16s_S73,Dry,Wet,0.993733333,DryWet
4665,NM1-P1-S1-16s_S36,TX2-P3-S1-16s_S74,Dry,Wet,1,DryWet
4666,NM1-P1-S1-16s_S36,TX2-P4-S1-16s_S75,Dry,Wet,0.992266667,DryWet
4667,NM1-P1-S1-16s_S36,TX2-P5-S1-16s_S76,Dry,Wet,0.995933333,DryWet
4668,NM1-P1-S1-16s_S36,TX2-P6-S2-16s_S77,Dry,Wet,0.996333333,DryWet
4729,NM1-P2-S1-16s_S37,TX2-P1-S1-16s_S72,Dry,Wet,0.991933333,DryWet
4730,NM1-P2-S1-16s_S37,TX2-P2-S1-16s_S73,Dry,Wet,0.978133333,DryWet
4731,NM1-P2-S1-16s_S37,TX2-P3-S1-16s_S74,Dry,Wet,0.99,DryWet
4732,NM1-P2-S1-16s_S37,TX2-P4-S1-16s_S75,Dry,Wet,0.973733333,DryWet
4733,NM1-P2-S1-16s_S37,TX2-P5-S1-16s_S76,Dry,Wet,0.993133333,DryWet
4734,NM1-P2-S1-16s_S37,TX2-P6-S2-16s_S77,Dry,Wet,0.990066667,DryWet
4795,NM1-P3-S1-16s_S38,TX2-P1-S1-16s_S72,Dry,Wet,0.993666667,DryWet
4796,NM1-P3-S1-16s_S38,TX2-P2-S1-16s_S73,Dry,Wet,0.984,DryWet
4797,NM1-P3-S1-16s_S38,TX2-P3-S1-16s_S74,Dry,Wet,0.9912,DryWet
4798,NM1-P3-S1-16s_S38,TX2-P4-S1-16s_S75,Dry,Wet,0.9748,DryWet
4799,NM1-P3-S1-16s_S38,TX2-P5-S1-16s_S76,Dry,Wet,0.997333333,DryWet
4800,NM1-P3-S1-16s_S38,TX2-P6-S2-16s_S77,Dry,Wet,0.997066667,DryWet
4861,NM1-P4-S1-16s_S39,TX2-P1-S1-16s_S72,Dry,Wet,0.992266667,DryWet
4862,NM1-P4-S1-16s_S39,TX2-P2-S1-16s_S73,Dry,Wet,0.985,DryWet
4863,NM1-P4-S1-16s_S39,TX2-P3-S1-16s_S74,Dry,Wet,0.991333333,DryWet
4864,NM1-P4-S1-16s_S39,TX2-P4-S1-16s_S75,Dry,Wet,0.985466667,DryWet
4865,NM1-P4-S1-16s_S39,TX2-P5-S1-16s_S76,Dry,Wet,0.9888,DryWet
4866,NM1-P4-S1-16s_S39,TX2-P6-S2-16s_S77,Dry,Wet,0.976933333,DryWet
4927,NM1-P5-S1-16s_S40,TX2-P1-S1-16s_S72,Dry,Wet,0.989066667,DryWet
4928,NM1-P5-S1-16s_S40,TX2-P2-S1-16s_S73,Dry,Wet,0.970266667,DryWet
4929,NM1-P5-S1-16s_S40,TX2-P3-S1-16s_S74,Dry,Wet,0.981466667,DryWet
4930,NM1-P5-S1-16s_S40,TX2-P4-S1-16s_S75,Dry,Wet,0.963733333,DryWet
4931,NM1-P5-S1-16s_S40,TX2-P5-S1-16s_S76,Dry,Wet,0.989933333,DryWet
4932,NM1-P5-S1-16s_S40,TX2-P6-S2-16s_S77,Dry,Wet,0.977133333,DryWet
4993,NM1-P6-S1-16s_S41,TX2-P1-S1-16s_S72,Dry,Wet,0.995333333,DryWet
4994,NM1-P6-S1-16s_S41,TX2-P2-S1-16s_S73,Dry,Wet,0.9956,DryWet
4995,NM1-P6-S1-16s_S41,TX2-P3-S1-16s_S74,Dry,Wet,0.9948,DryWet
4996,NM1-P6-S1-16s_S41,TX2-P4-S1-16s_S75,Dry,Wet,0.985933333,DryWet
4997,NM1-P6-S1-16s_S41,TX2-P5-S1-16s_S76,Dry,Wet,0.996,DryWet
4998,NM1-P6-S1-16s_S41,TX2-P6-S2-16s_S77,Dry,Wet,0.9906,DryWet
3458,MT1-P1-S1-16s_S139,MS1-P4-S1-16s_S33,Dry,Wet,0.986133333,DryWet
3459,MT1-P1-S1-16s_S139,MS1-P5-S1-16s_S34,Dry,Wet,0.9556,DryWet
3460,MT1-P1-S1-16s_S139,MS1-P6-S1-16s_S35,Dry,Wet,0.9822,DryWet
3524,MT1-P2-S1-16s_S140,MS1-P4-S1-16s_S33,Dry,Wet,0.969066667,DryWet
3525,MT1-P2-S1-16s_S140,MS1-P5-S1-16s_S34,Dry,Wet,0.9594,DryWet
3526,MT1-P2-S1-16s_S140,MS1-P6-S1-16s_S35,Dry,Wet,0.9756,DryWet
3590,MT1-P3-S1-16s_S141,MS1-P4-S1-16s_S33,Dry,Wet,0.9886,DryWet
3591,MT1-P3-S1-16s_S141,MS1-P5-S1-16s_S34,Dry,Wet,0.9644,DryWet
3592,MT1-P3-S1-16s_S141,MS1-P6-S1-16s_S35,Dry,Wet,0.9822,DryWet
3656,MT1-P4-S1-16s_S142,MS1-P4-S1-16s_S33,Dry,Wet,0.9804,DryWet
3657,MT1-P4-S1-16s_S142,MS1-P5-S1-16s_S34,Dry,Wet,0.973733333,DryWet
3658,MT1-P4-S1-16s_S142,MS1-P6-S1-16s_S35,Dry,Wet,0.976133333,DryWet
3722,MT1-P5-S1-16s_S143,MS1-P4-S1-16s_S33,Dry,Wet,0.986533333,DryWet
3723,MT1-P5-S1-16s_S143,MS1-P5-S1-16s_S34,Dry,Wet,0.970666667,DryWet
3724,MT1-P5-S1-16s_S143,MS1-P6-S1-16s_S35,Dry,Wet,0.963266667,DryWet
3788,MT1-P6-S1-16s_S144,MS1-P4-S1-16s_S33,Dry,Wet,0.982,DryWet
3789,MT1-P6-S1-16s_S144,MS1-P5-S1-16s_S34,Dry,Wet,0.970733333,DryWet
3790,MT1-P6-S1-16s_S144,MS1-P6-S1-16s_S35,Dry,Wet,0.969466667,DryWet
5438,SD1-P1-S1-16s_S121,MS1-P4-S1-16s_S33,Dry,Wet,0.964933333,DryWet
5439,SD1-P1-S1-16s_S121,MS1-P5-S1-16s_S34,Dry,Wet,0.939333333,DryWet
5440,SD1-P1-S1-16s_S121,MS1-P6-S1-16s_S35,Dry,Wet,0.963266667,DryWet
5504,SD1-P2-S1-16s_S122,MS1-P4-S1-16s_S33,Dry,Wet,0.981333333,DryWet
5505,SD1-P2-S1-16s_S122,MS1-P5-S1-16s_S34,Dry,Wet,0.961266667,DryWet
5506,SD1-P2-S1-16s_S122,MS1-P6-S1-16s_S35,Dry,Wet,0.960866667,DryWet
5570,SD1-P5-S1-16s_S125,MS1-P4-S1-16s_S33,Dry,Wet,0.972466667,DryWet
5571,SD1-P5-S1-16s_S125,MS1-P5-S1-16s_S34,Dry,Wet,0.961266667,DryWet
5572,SD1-P5-S1-16s_S125,MS1-P6-S1-16s_S35,Dry,Wet,0.9598,DryWet
2386,CO1-P1-S1-16s_S42,LA1-P1-S1-16s_S54,Dry,Wet,0.988066667,DryWet
