SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
MT1-P6-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,834,9.276116624,76.44333587
NC1-P1-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,513,8.580604284,51.56393688
NC1-P2-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,507,8.584447314,56.32316623
NC1-P3-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,885,9.392531841,75.84127101
NC1-P4-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,1407,10.06310631,106.7711021
NC1-P5-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,876,8.994934496,77.02729853
NC1-P6-R,Wet,NC1-R,Rhizobiome,NC1,13.3,5.6,Wet-R,2.375,844,9.262029411,84.8942572
ND1-P1-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,992,9.53901318,88.52727702
ND1-P2-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,786,9.138334539,80.90760318
ND1-P3-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,610,8.812901324,65.20498087
ND1-P4-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,1130,9.787560601,89.08207384
ND1-P5-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,849,9.287843778,78.00670753
ND1-P6-R,Dry,ND1-R,Rhizobiome,ND1,8.73,7.5,Dry-R,1.164,741,9.09848352,70.33003479
NE1-P1-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,637,8.864694012,66.13329567
NE1-P2-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,541,8.658367136,52.95318713
NE1-P3-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,NA,NA,NA
NE1-P4-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,NA,NA,NA
NE1-P5-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,763,9.148287437,68.41425834
NE1-P6-R,Wet,NE1-R,Rhizobiome,NE1,11.5,7.7,Wet-R,1.493506494,780,9.146655232,78.48384507
NE2-P1-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,608,8.791790388,64.07903054
NE2-P2-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,552,8.692036753,56.32555862
NE2-P3-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,651,8.895651361,63.56824463
NE2-P4-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,705,9.077523008,61.75398728
NE2-P5-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,686,8.996907392,67.26826729
NE2-P6-R,Dry,NE2-R,Rhizobiome,NE2,9.72,6.9,Dry-R,1.408695652,685,8.958981393,66.45609509
NM1-P2-R,Dry,NM1-R,Rhizobiome,NM1,6.7,7.1,Dry-R,0.943661972,802,9.181703539,77.61025975
NM1-P3-R,Dry,NM1-R,Rhizobiome,NM1,6.7,7.1,Dry-R,0.943661972,755,9.108648482,70.35924271
NM1-P6-R,Dry,NM1-R,Rhizobiome,NM1,6.7,7.1,Dry-R,0.943661972,882,9.289561847,76.00131288
OK1-P1-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,784,8.972275715,80.04539749
OK1-P2-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,793,9.108700557,76.47089376
OK1-P3-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,822,9.220179989,79.73484605
OK1-P4-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,844,9.300127222,72.72753336
OK1-P5-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,711,9.027343012,68.77416913
OK1-P6-R,Dry,OK1-R,Rhizobiome,OK1,10,5.9,Dry-R,1.694915254,755,9.004598803,76.18617233
SC1-P1-R,Wet,SC1-R,Rhizobiome,SC1,14.1,6.5,Wet-R,2.169230769,876,9.27568203,93.76949878
SC1-P2-R,Wet,SC1-R,Rhizobiome,SC1,14.1,6.5,Wet-R,2.169230769,742,9.015957334,80.46856095
SC1-P3-R,Wet,SC1-R,Rhizobiome,SC1,14.1,6.5,Wet-R,2.169230769,1173,9.50801778,128.1591629
SC1-P4-R,Wet,SC1-R,Rhizobiome,SC1,14.1,7.9,Wet-R,1.784810127,801,9.197817656,79.65267814
SC1-P5-R,Wet,SC1-R,Rhizobiome,SC1,14.1,7.9,Wet-R,1.784810127,816,9.237566174,82.19515067
SC1-P6-R,Wet,SC1-R,Rhizobiome,SC1,14.1,7.9,Wet-R,1.784810127,764,9.13259626,78.00315922
SD1-P1-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,837,9.221354604,84.58499866
SD1-P2-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,756,9.094546238,77.84971849
SD1-P3-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,731,9.107866468,71.25563715
SD1-P4-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,753,9.055866008,73.40437501
SD1-P5-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,671,8.95774899,63.97395354
SD1-P6-R,Dry,SD1-R,Rhizobiome,SD1,7.08,7.9,Dry-R,0.896202532,735,9.083842407,70.68433434
TX1-P1-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,575,8.639946548,67.12143255
TX1-P2-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,577,8.691188069,66.70078963
TX1-P3-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,575,8.607458377,67.35040456
TX1-P4-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,506,8.415091444,64.21385816
TX1-P5-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,649,8.828217681,85.96456443
TX1-P6-R,Wet,TX1-R,Rhizobiome,TX1,15,6,Wet-R,2.5,525,8.478799379,64.97513342
TX2-P1-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,704,8.738617032,64.79120739
TX2-P2-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,464,7.232979809,45.6829101
TX2-P3-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,756,9.053855843,58.38848905
TX2-P4-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,586,8.739397859,58.16753954
TX2-P5-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,668,8.342948921,65.87115413
TX2-P6-R,Wet,TX2-R,Rhizobiome,TX2,17.2,5.9,Wet-R,2.915254237,765,9.04444453,70.32749176
TX3-P1-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,732,8.662471945,67.22486031
TX3-P2-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,897,9.205510999,80.93242036
TX3-P3-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,797,9.12717976,74.34188037
TX3-P4-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,706,8.65003457,68.84615219
TX3-P5-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,871,9.159508272,81.93475233
TX3-P6-R,Dry,TX3-R,Rhizobiome,TX3,12.5,7.5,Dry-R,1.666666667,774,8.855530137,72.08427314
WI1-P1-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,NA,NA,NA
WI1-P2-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,834,9.244013474,72.60292861
WI1-P3-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,666,8.905728182,75.25930894
WI1-P4-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,774,9.246376879,60.51353118
WI1-P5-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,752,9.153346248,67.77240811
WI1-P6-R,Wet,WI1-R,Rhizobiome,WI1,11.7,5.8,Wet-R,2.017241379,770,9.196756458,72.2389513
