SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
MI1-P5-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,417,8.332613996,43.95435293
MI1-P6-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,435,8.296172543,51.29295221
MN1-P1-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,400,8.208162792,41.37485491
MN1-P2-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,382,8.109119998,43.95124347
MN1-P3-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,474,8.487336469,46.86365533
MN1-P4-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,509,8.582877651,49.31424852
MN1-P5-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,397,8.253248894,43.47749412
MN1-P6-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,387,8.189549492,40.39104942
MO1-P1-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,592,8.85063479,51.21974714
MO1-P2-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,531,8.615677225,48.37683493
MO1-P3-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,546,8.690543789,52.0023167
MO1-P4-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,481,8.479874502,49.64838557
MO1-P5-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,470,8.510435209,43.45432685
MO1-P6-S,Wet,MO1-S,Soil,MO1,12.8,6.5,Wet-S,1.969230769,526,8.648184371,48.08698993
MS1-P1-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,NA,NA,NA
MS1-P2-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,NA,NA,NA
MS1-P3-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,NA,NA,NA
MS1-P4-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,542,8.664953299,55.10075495
MS1-P5-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,390,8.212761239,39.92622299
MS1-P6-S,Wet,MS1-S,Soil,MS1,17.3,5.8,Wet-S,2.982758621,544,8.682506248,59.08822843
MT1-P1-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,409,8.267198825,40.39028495
MT1-P2-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,395,8.176377692,39.34155542
MT1-P3-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,433,8.352792346,47.0788777
MT1-P4-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,416,8.254580462,48.71925896
MT1-P5-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,453,8.370847995,46.66439643
MT1-P6-S,Dry,MT1-S,Soil,MT1,7.08,7.5,Dry-S,0.944,453,8.354803507,50.21126512
NC1-P1-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,1022,9.634209469,76.41207098
NC1-P2-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,836,9.343729357,63.72699947
NC1-P3-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,502,8.631509955,48.22132938
NC1-P4-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,509,8.637396716,48.850716
NC1-P5-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,566,8.796223929,52.94962575
NC1-P6-S,Wet,NC1-S,Soil,NC1,13.3,5.6,Wet-S,2.375,578,8.818565022,55.1201282
ND1-P1-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,479,8.506326501,49.35537701
ND1-P2-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,492,8.545311888,47.69737262
ND1-P3-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,436,8.349350961,49.35819687
ND1-P4-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,455,8.438594257,43.43716812
ND1-P5-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,454,8.406984065,45.6619297
