index,Ecotype,Location,Lat,Long,Sobs,Shannon,Faith
MS1-P1-S1-16s_S31,Wet,MS,33.95517,-89.74629,NA,NA,NA
MS1-P2-S1-16s_S32,Wet,MS,33.95517,-89.74629,NA,NA,NA
MS1-P3-S1-16s_S157,Wet,MS,33.95517,-89.74629,NA,NA,NA
MS1-P4-S1-16s_S33,Wet,MS,33.95517,-89.74629,542,8.664953299,55.10075495
MS1-P5-S1-16s_S34,Wet,MS,33.95517,-89.74629,390,8.212761239,39.92622299
MS1-P6-S1-16s_S35,Wet,MS,33.95517,-89.74629,544,8.682506248,59.08822843
MT1-P1-S1-16s_S139,Dry,MT,45.26039,-105.4124,409,8.267198825,40.39028495
MT1-P2-S1-16s_S140,Dry,MT,45.26039,-105.4124,395,8.176377692,39.34155542
MT1-P3-S1-16s_S141,Dry,MT,45.26039,-105.4124,433,8.352792346,47.0788777
MT1-P4-S1-16s_S142,Dry,MT,45.26039,-105.4124,416,8.254580462,48.71925896
MT1-P5-S1-16s_S143,Dry,MT,45.26039,-105.4124,453,8.370847995,46.66439643
MT1-P6-S1-16s_S144,Dry,MT,45.26039,-105.4124,453,8.354803507,50.21126512
NC1-P1-S1-16s_S66,Wet,NC,35.45036,-80.47287,1022,9.634209469,76.41207098
NC1-P2-S1-16s_S67,Wet,NC,35.45036,-80.47287,836,9.343729357,63.72699947
NC1-P3-S1-16s_S68,Wet,NC,35.45036,-80.47287,502,8.631509955,48.22132938
NC1-P4-S1-16s_S69,Wet,NC,35.45036,-80.47287,509,8.637396716,48.850716
NC1-P5-S1-16s_S70,Wet,NC,35.45036,-80.47287,566,8.796223929,52.94962575
NC1-P6-S1-16s_S71,Wet,NC,35.45036,-80.47287,578,8.818565022,55.1201282
ND1-P1-S1-16s_S145,Dry,ND,46.39291,-97.3007,479,8.506326501,49.35537701
ND1-P2-S1-16s_S146,Dry,ND,46.39291,-97.3007,492,8.545311888,47.69737262
ND1-P3-S1-16s_S147,Dry,ND,46.39291,-97.3007,436,8.349350961,49.35819687
ND1-P4-S1-16s_S148,Dry,ND,46.39291,-97.3007,455,8.438594257,43.43716812
ND1-P5-S1-16s_S149,Dry,ND,46.39291,-97.3007,454,8.406984065,45.6619297
ND1-P6-S1-16s_S150,Dry,ND,46.39291,-97.3007,408,8.238945579,41.84340387
NE1-P1-S1-16s_S115,Mesic,NE1,40.86996,-96.805849,541,8.681603034,51.3064479
NE1-P2-S1-16s_S116,Mesic,NE1,40.86996,-96.805849,433,8.377372772,42.63694932
NE1-P3-S1-16s_S117,Mesic,NE1,40.86996,-96.805849,640,8.975384057,53.69216722
NE1-P4-S1-16s_S118,Mesic,NE1,40.86996,-96.805849,588,8.848294932,48.29758407
