SampleID,d__Bacteria;p__Proteobacteria,d__Bacteria;__,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Crenarchaeota,d__Archaea;p__Euryarchaeota,d__Archaea;p__Halobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Zixibacteria,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Spirochaetota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__MBNT15,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Dependentiae,d__Bacteria;p__WS4,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__RCP2-54,d__Bacteria;p__WPS-2,d__Bacteria;p__Armatimonadota,d__Bacteria;p__GAL15,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__FCPU426,d__Bacteria;p__Hydrogenedentes,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Sva0485,d__Bacteria;p__Calditrichota,d__Bacteria;p__WS2,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Synergistota,d__Bacteria;p__Abditibacteriota,d__Archaea;p__Aenigmarchaeota
SC1-P4-S1-16s_S100,6827,194,72,1447,211,4126,4431,23,0,0,1969,0,24,0,0,639,360,140,152,0,1712,0,38,604,40,30,0,0,51,69,49,85,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1-P5-S1-16s_S101,8738,239,191,1527,386,5619,4191,30,0,0,2942,0,111,0,0,1139,116,295,23,0,1965,8,47,1058,85,215,0,0,0,49,70,197,0,0,61,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1-P6-S1-16s_S102,7029,310,40,2106,195,2848,4178,46,0,0,2866,0,164,0,0,622,24,194,147,0,976,0,158,436,10,9,0,0,56,136,120,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD1-P1-S1-16s_S121,4857,25,90,710,494,5357,3669,564,0,0,948,0,9,0,0,579,70,355,43,0,875,48,4,1148,16,0,0,0,17,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
SD1-P2-S1-16s_S122,3492,45,59,503,776,5940,4121,405,0,0,981,0,0,0,0,431,34,457,58,0,815,27,15,862,6,0,0,0,46,0,0,42,0,8,0,0,0,0,85,0,0,0,0,0,0,23,0,0,3,0
SD1-P3-S1-16s_S123,2853,81,63,618,509,3701,3096,183,0,0,607,0,35,0,0,327,8,83,71,0,1082,0,9,1283,15,6,0,22,0,0,0,0,0,0,10,0,0,14,140,17,0,0,0,0,0,0,0,0,0,0
SD1-P4-S1-16s_S124,2330,18,23,554,1336,3534,3445,167,0,0,500,0,0,0,0,354,11,118,129,0,928,12,0,474,0,3,0,2,20,70,0,26,0,4,0,0,0,0,79,11,0,0,0,0,0,0,0,0,6,0
SD1-P5-S1-16s_S125,2789,5,70,773,866,4755,3058,209,0,4,499,0,0,0,0,268,4,287,91,0,639,39,20,518,3,0,0,3,0,60,0,28,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
SD1-P6-S1-16s_S126,2494,5,23,817,455,3960,3631,212,0,0,608,0,0,0,0,392,26,144,92,0,781,51,0,256,5,0,0,0,26,0,0,4,0,0,0,0,0,17,97,0,0,0,0,0,0,0,0,0,0,0
TX1-P1-S1-16s_S60,2805,23,9,1124,773,1968,2850,41,0,0,478,0,33,0,0,582,54,35,168,0,1034,87,31,74,128,3,0,0,208,19,13,23,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
TX1-P2-S1-16s_S61,5012,67,34,273,906,1084,1620,0,0,0,896,0,0,13,0,618,431,40,0,0,713,0,0,555,22,0,0,0,367,52,12,4,0,7,0,0,0,40,0,10,0,0,0,0,0,0,0,0,0,0
TX1-P3-S1-16s_S62,2353,40,5,635,1171,1142,1899,0,0,0,494,0,0,0,0,427,77,42,185,0,946,66,17,32,0,0,0,0,112,157,0,59,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
TX1-P4-S1-16s_S63,2933,139,2,491,678,1376,2669,0,0,0,744,0,55,0,0,845,148,59,44,0,1026,0,0,238,167,40,0,0,55,35,0,18,0,0,0,6,0,20,0,5,0,0,0,0,0,0,0,0,0,0
TX1-P5-S1-16s_S64,5230,27,25,1885,824,2893,3910,3,0,0,2022,0,0,0,0,789,113,120,95,0,1250,89,60,273,16,6,0,0,661,151,67,164,0,2,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0
TX1-P6-S1-16s_S65,11812,216,132,2956,2915,6916,8833,72,0,0,4061,0,34,19,0,2537,518,84,341,0,2787,0,96,941,193,65,0,6,1134,125,110,223,0,12,0,0,0,19,86,14,0,0,0,0,0,0,0,0,0,0
TX2-P1-S1-16s_S72,3399,35,59,1474,272,1685,3601,0,0,0,1651,0,192,0,0,1323,59,32,1331,152,3995,24,0,140,0,28,0,0,648,26,0,41,0,0,0,0,0,0,126,149,6,0,0,0,0,0,0,0,0,0
TX2-P2-S1-16s_S73,4722,23,27,679,610,2678,4051,43,0,3,1360,0,86,0,0,733,53,13,209,0,3656,0,0,427,2,20,0,0,218,51,0,23,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
TX2-P3-S1-16s_S74,4078,76,102,2342,329,1710,5512,0,0,0,1728,0,240,0,0,983,19,63,1432,0,4568,27,39,522,0,45,0,13,372,267,11,251,0,2,0,0,0,0,12,75,0,0,0,0,0,0,0,0,0,0
TX2-P4-S1-16s_S75,5648,91,37,757,398,2603,3898,51,0,0,1310,0,59,0,5,425,47,160,157,0,3551,33,0,883,20,0,0,0,396,27,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
TX2-P5-S1-16s_S76,4036,76,0,1276,303,1303,3055,12,0,0,1953,0,116,0,0,1268,26,30,1602,83,3451,123,0,73,38,12,0,0,578,95,0,48,0,0,0,0,0,0,140,101,5,0,0,0,0,0,0,0,0,0
TX2-P6-S2-16s_S77,4531,55,135,1641,845,1485,3653,0,0,4,1171,0,21,0,0,949,84,66,1132,52,3965,92,24,176,9,0,0,0,868,45,5,108,0,0,0,0,0,0,101,103,0,0,0,0,0,0,0,0,0,0
TX3-P1-S1-16s_S84,4482,60,32,1473,280,4831,5055,96,0,0,1710,0,111,0,0,1141,26,113,601,0,2338,0,0,356,8,0,0,0,66,0,0,47,0,0,0,0,0,3,147,125,0,0,0,0,0,0,0,0,0,0
TX3-P2-S1-16s_S85,5450,66,176,1676,191,4699,5962,151,0,0,2638,0,202,0,0,971,0,322,272,0,2908,14,0,1107,19,0,0,0,66,0,4,71,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0
TX3-P3-S1-16s_S86,4717,19,41,1462,376,4838,5310,208,0,0,1543,0,185,0,0,1224,18,188,263,12,1881,45,21,660,45,0,0,8,5,0,0,68,0,0,0,0,0,0,232,68,0,0,0,0,0,0,0,0,0,0
TX3-P4-S1-16s_S87,4175,42,386,1414,22,4911,5440,259,0,0,1256,0,112,0,0,1091,13,134,107,0,1694,32,20,922,13,0,0,0,0,0,0,46,0,9,0,3,0,0,83,97,5,0,0,0,0,0,0,0,0,0
TX3-P5-S1-16s_S88,4805,37,66,1211,267,6629,6072,91,0,0,2278,0,201,0,0,1298,2,280,614,0,2004,17,5,497,19,0,0,0,19,0,0,34,0,0,0,0,0,0,176,78,0,0,0,0,0,0,0,0,0,0
TX3-P6-S1-16s_S89,5422,14,93,1632,495,6358,6574,220,0,0,2006,0,307,0,0,1539,13,295,546,13,2099,12,0,860,15,3,0,0,109,0,0,45,0,0,0,0,0,0,119,80,0,0,0,0,0,0,0,0,0,0
WI1-P1-S1-16s_S13,2527,247,148,1433,322,4972,2896,118,0,0,1430,0,59,0,0,484,161,138,123,0,1363,24,0,275,6,4,0,0,66,0,0,37,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
WI1-P2-S1-16s_S14,3565,272,212,1284,431,6365,3482,85,0,0,1328,0,66,0,0,555,26,208,106,0,911,22,0,247,7,8,0,0,78,0,8,52,0,0,0,0,22,53,0,0,0,0,0,0,0,0,0,0,0,0
WI1-P3-S1-16s_S15,4476,246,69,960,270,6052,3897,0,0,0,2361,0,41,0,0,588,96,158,166,18,1476,11,26,359,13,0,0,0,106,0,47,93,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,0
WI1-P4-S2-16s_S16,4567,57,511,244,1529,5002,2571,22,0,0,1094,0,0,0,0,451,41,332,40,0,1331,0,0,647,7,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0
WI1-P5-S1-16s_S17,6001,393,135,1694,595,6943,5971,156,0,0,2953,0,128,0,0,776,260,313,131,14,2090,18,0,469,32,0,0,0,94,17,0,52,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
WI1-P6-S1-16s_S18,5838,297,131,1765,830,9063,4217,343,0,0,2331,0,98,0,0,660,45,226,361,0,1836,15,0,365,132,0,0,0,10,0,0,118,0,0,0,0,0,0,64,20,0,0,0,0,0,0,0,0,0,0
