SampleID,d__Bacteria;p__Proteobacteria,d__Bacteria;__,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Crenarchaeota,d__Archaea;p__Euryarchaeota,d__Archaea;p__Halobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Zixibacteria,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Spirochaetota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__MBNT15,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Dependentiae,d__Bacteria;p__WS4,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__RCP2-54,d__Bacteria;p__WPS-2,d__Bacteria;p__Armatimonadota,d__Bacteria;p__GAL15,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__FCPU426,d__Bacteria;p__Hydrogenedentes,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Sva0485,d__Bacteria;p__Calditrichota,d__Bacteria;p__WS2,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Synergistota,d__Bacteria;p__Abditibacteriota,d__Archaea;p__Aenigmarchaeota
IN1-P4-S1-16s_S22,6676,225,233,1414,386,6617,5993,28,0,0,2078,0,87,0,0,1211,59,323,51,0,1838,0,0,1158,20,0,0,0,137,0,46,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN1-P5-S1-16s_S23,6059,104,179,1097,488,5670,5666,0,0,0,2435,0,102,0,0,849,43,284,193,0,1731,43,7,907,26,24,0,0,257,0,38,42,0,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN1-P6-S1-16s_S24,6145,345,32,1407,395,4394,5979,22,0,0,2071,0,208,0,0,869,71,322,192,0,1666,49,95,427,128,45,0,0,159,83,35,49,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
KS1-P1-S1-16s_S109,3463,37,28,725,142,2115,4166,120,0,0,864,0,107,0,0,482,36,208,325,0,3968,7,10,1712,0,7,0,13,317,0,0,11,0,0,0,0,0,76,0,42,0,0,0,0,0,0,0,0,0,0
KS1-P2-S1-16s_S110,2657,14,32,270,170,1996,3243,106,0,0,513,0,104,0,0,340,0,78,192,15,3432,0,0,972,0,0,0,24,123,0,0,24,0,0,0,0,0,12,6,35,0,0,0,0,0,0,0,0,0,0
KS1-P3-S1-16s_S111,2089,0,5,61,692,2773,1718,152,0,0,177,0,23,0,0,242,17,56,46,0,1904,0,0,699,4,5,0,0,96,0,0,12,0,0,0,0,0,0,144,17,0,0,0,0,0,0,0,0,0,0
KS1-P4-S1-16s_S112,4664,17,3,1050,1383,6681,4219,317,0,0,753,0,115,0,0,580,32,125,194,0,3363,47,0,1632,12,0,0,15,73,0,0,14,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
KS1-P5-S1-16s_S113,4684,15,41,900,881,5089,5140,321,0,0,1096,0,231,0,0,782,15,177,450,0,4132,18,0,2145,2,4,0,0,160,0,0,74,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0
KS1-P6-S1-16s_S114,5828,131,12,927,1760,7296,5464,321,0,0,925,0,44,0,0,791,4,127,382,0,3339,14,0,1404,4,0,0,10,235,0,0,82,0,0,0,0,0,38,155,0,0,0,0,0,0,0,0,0,0,0
KS2-P1-S1-16s_S127,2275,26,36,793,263,4885,2393,285,0,0,517,0,29,0,0,712,14,266,145,0,468,25,0,222,0,0,0,0,25,0,0,0,0,0,0,0,0,0,258,37,0,0,0,0,0,0,0,0,2,0
KS2-P2-S1-16s_S128,3048,16,30,1331,109,5653,2753,237,0,0,632,0,25,0,0,422,9,194,91,0,557,23,0,228,3,5,0,0,0,0,0,57,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0
KS2-P3-S1-16s_S129,3689,3,23,974,308,4922,3084,315,0,0,774,0,147,0,0,495,15,253,215,0,473,51,12,824,27,0,0,0,8,10,0,8,0,0,0,0,10,0,189,51,0,0,0,0,0,0,0,0,0,0
KS2-P4-S1-16s_S130,2940,87,42,1612,398,7912,2746,497,0,0,750,0,0,0,0,558,46,435,309,0,633,61,0,227,0,0,0,0,13,0,0,45,21,0,0,0,9,16,138,24,0,0,0,0,0,0,0,0,0,0
KS2-P5-S1-16s_S131,3402,15,10,1282,133,4176,3312,446,0,0,618,0,25,0,0,446,11,157,162,0,355,62,0,400,0,0,0,0,7,0,0,7,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
KS2-P6-S1-16s_S132,2339,5,14,983,141,5542,2477,519,0,0,346,0,9,0,0,415,6,157,27,0,356,50,13,320,12,0,0,0,0,0,0,16,0,0,2,0,0,6,125,0,0,0,0,0,0,0,0,0,0,0
LA1-P1-S1-16s_S54,4998,88,115,3521,94,3247,5075,5,0,0,1191,0,109,0,0,1198,124,80,222,0,2402,0,0,362,19,29,0,0,630,63,38,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1-P2-S1-16s_S55,4908,52,60,1312,158,5770,4916,56,0,0,1825,0,37,0,0,688,69,115,42,0,1903,0,0,406,26,8,0,0,183,89,144,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1-P3-S1-16s_S56,2428,30,33,2969,205,2352,3239,0,0,0,891,0,120,0,0,504,52,106,43,17,1678,189,12,71,0,9,0,0,553,122,50,128,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1-P4-S1-16s_S57,2362,11,84,2011,60,2720,2650,0,0,0,818,0,138,0,0,723,0,52,39,0,1661,434,23,152,7,0,0,0,381,52,42,155,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1-P5-S2-16s_S58,2571,102,97,1513,346,2134,3480,0,0,0,664,0,133,0,0,763,78,67,433,0,3144,325,13,267,0,10,0,0,384,0,0,148,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0
LA1-P6-S2-16s_S59,1605,22,46,2639,208,1951,2163,0,0,0,459,0,27,0,0,363,0,150,152,0,3033,127,0,84,0,0,0,0,246,134,6,35,132,0,0,0,0,0,105,0,6,0,0,0,0,0,0,0,0,0
MI1-P1-S1-16s_S7,8104,190,151,3225,473,3638,5674,93,23,184,1894,0,151,48,0,1184,66,307,828,0,1341,121,12,282,21,27,0,0,345,65,5,40,0,0,0,0,0,0,22,106,0,0,0,0,0,0,20,0,0,0
MI1-P2-S1-16s_S8,6240,208,88,3415,847,2037,5107,143,0,160,1932,0,295,0,0,1393,112,601,964,66,1093,250,93,344,4,15,0,0,701,0,0,168,0,0,0,0,165,10,55,37,69,0,0,0,0,0,0,0,0,0
MI1-P3-S1-16s_S9,6695,152,87,1340,197,2853,4844,0,0,19,1668,0,67,0,0,759,67,149,220,9,1176,23,0,99,68,4,0,0,135,32,26,46,0,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI1-P4-S1-16s_S10,5884,53,78,1605,710,2378,3166,45,10,115,1309,8,105,23,0,992,75,191,439,5,642,107,10,239,11,6,0,0,242,46,0,27,4,0,0,0,15,0,41,66,0,0,0,0,0,0,8,0,0,0
MI1-P5-S2-16s_S11,5481,15,110,1358,488,2252,4248,53,20,42,1682,0,24,47,0,703,47,216,558,41,543,21,0,210,15,0,0,5,281,24,0,6,0,2,0,0,10,0,0,38,0,0,0,0,0,0,0,0,0,0
MI1-P6-S2-16s_S12,4570,96,74,1575,373,3100,3573,34,0,134,1106,0,98,0,0,964,57,185,567,44,738,51,41,170,21,18,0,0,84,0,5,83,0,0,0,0,29,3,0,10,0,0,0,6,0,0,0,0,0,0
MN1-P1-S1-16s_S151,4198,19,6,455,226,3876,3851,366,0,0,794,0,106,0,0,713,0,91,536,0,1502,0,0,910,17,0,0,0,10,8,0,18,0,3,0,0,0,0,296,163,0,0,0,0,0,0,0,0,0,0
MN1-P2-S1-16s_S152,4504,31,4,855,295,4164,3448,345,0,0,760,0,84,0,0,344,26,59,362,0,1339,9,18,809,28,2,0,5,0,0,0,3,0,4,0,0,0,0,305,54,0,0,0,0,0,0,0,0,0,0
MN1-P3-S1-16s_S153,5831,64,19,846,411,4200,4340,415,0,0,993,0,114,0,0,697,0,124,586,0,1301,15,0,1153,104,0,0,13,30,22,3,32,0,2,0,0,0,0,325,105,0,0,0,0,0,0,0,0,0,0
MN1-P4-S1-16s_S154,6220,63,72,1002,337,4994,4507,425,0,0,1091,0,120,0,0,965,22,97,455,14,1559,2,5,1253,87,0,0,0,25,0,0,17,0,3,0,0,0,43,506,155,0,0,0,0,0,0,0,0,0,0
MN1-P5-S1-16s_S155,4773,17,27,806,468,4220,3763,289,0,0,757,0,61,0,0,780,61,55,516,0,1735,31,6,737,18,0,0,0,46,0,0,10,0,0,0,0,0,10,309,159,0,0,0,0,0,0,0,0,0,0
MN1-P6-S1-16s_S156,4701,32,19,620,348,4579,3898,430,0,0,983,0,82,0,0,742,0,42,599,0,1552,25,0,775,56,0,0,0,95,0,0,0,0,0,0,0,0,18,144,39,0,0,0,0,0,0,0,0,0,0
MO1-P1-S1-16s_S90,4634,45,188,1837,358,3690,8465,0,0,0,1990,0,263,0,0,971,4,328,419,0,3953,74,0,1143,14,6,0,0,252,0,0,121,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0
MO1-P2-S1-16s_S91,4905,66,51,2583,1005,6123,4950,0,0,0,1470,0,103,0,0,597,27,111,168,0,2502,67,0,645,7,0,0,0,577,0,0,49,0,3,0,0,0,35,0,9,0,0,0,0,0,0,0,0,0,0
MO1-P3-S1-16s_S93,5220,102,79,2592,564,5561,5253,0,0,0,1668,0,95,0,0,916,85,129,183,12,2666,63,14,703,4,4,0,0,518,62,0,40,11,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
MO1-P4-S1-16s_S94,3775,81,183,2699,497,3247,5371,5,0,0,1199,0,184,0,0,614,33,235,173,0,2955,88,0,644,3,19,0,0,492,49,0,139,18,2,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,0
MO1-P5-S1-16s_S95,4998,76,66,2655,491,4150,5003,0,0,0,1527,0,201,0,0,390,12,61,151,0,2639,0,0,473,18,3,0,0,569,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO1-P6-S1-16s_S96,4585,103,81,2948,416,5130,5749,25,0,0,1662,0,137,0,0,590,16,199,187,0,2688,82,19,352,11,0,0,0,227,29,0,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS1-P1-S1-16s_S31,4405,77,43,925,458,1853,3105,0,0,0,724,0,148,0,0,1040,117,139,58,0,916,5,17,383,8,0,0,0,110,36,0,28,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
MS1-P2-S1-16s_S32,4054,38,31,689,163,2586,2680,23,0,0,770,0,71,0,0,807,168,61,0,0,968,0,16,253,15,2,0,0,142,0,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS1-P3-S1-16s_S157,2842,92,14,478,700,1749,1906,0,0,7,497,0,37,7,0,336,118,27,124,0,569,37,0,394,106,10,4,3,129,9,10,51,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
MS1-P4-S1-16s_S33,6195,157,139,1118,255,3732,6090,16,0,0,2314,0,176,0,0,868,93,119,0,0,1956,0,50,501,257,87,0,0,31,152,192,57,0,0,44,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
MS1-P5-S1-16s_S34,7468,37,126,867,220,5059,4423,0,0,0,1056,0,46,0,0,785,35,250,6,0,997,6,0,149,188,0,0,0,152,21,75,94,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
MS1-P6-S1-16s_S35,7800,126,42,1515,330,4384,5664,0,0,0,1700,0,136,0,0,1038,75,230,158,0,1867,8,40,604,135,6,0,0,714,28,8,157,0,0,0,6,0,39,0,59,0,0,0,0,0,0,0,0,0,0
MT1-P1-S1-16s_S139,3931,61,53,1002,524,4740,6037,187,0,0,1238,0,0,0,0,707,7,737,230,20,869,24,0,575,0,0,0,0,0,49,0,54,0,0,0,0,40,6,38,10,0,0,0,0,0,8,0,0,9,0
MT1-P2-S1-16s_S140,4138,54,37,774,262,6161,4589,324,0,0,893,0,0,0,0,857,14,206,182,0,810,3,28,515,21,11,0,0,0,80,0,7,6,0,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,0
MT1-P3-S1-16s_S141,4815,212,7,1145,318,7310,3815,247,0,0,1113,0,53,0,0,588,98,366,216,0,1039,0,0,1538,21,21,0,0,0,0,0,83,0,0,0,0,0,17,41,4,0,0,0,0,0,0,0,0,0,0
MT1-P4-S1-16s_S142,4165,135,32,1059,444,4407,3656,90,0,0,1041,0,0,7,0,629,40,321,160,0,648,0,15,925,17,12,0,0,57,10,0,24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
MT1-P5-S1-16s_S143,5458,7,35,1152,1237,5246,4829,299,0,0,963,0,45,0,0,815,74,312,98,0,922,52,0,1173,0,8,0,0,22,41,0,78,9,0,0,0,21,0,0,39,0,0,0,0,0,0,0,0,13,0
MT1-P6-S1-16s_S144,4777,23,46,951,219,5386,5016,196,0,0,687,0,0,0,0,849,123,259,126,0,1287,0,0,1311,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
NC1-P1-S1-16s_S66,16454,416,246,2658,657,7121,8620,35,0,0,3761,0,423,15,0,2592,142,528,984,0,4062,101,21,2096,76,55,0,7,248,34,0,141,0,18,54,0,0,59,186,201,20,0,0,0,0,0,0,0,0,0
NC1-P2-S1-16s_S67,10268,320,36,3353,462,4304,9279,22,0,0,4744,0,774,7,0,1891,52,312,1123,41,4625,35,42,1319,0,19,0,0,174,51,0,60,0,8,0,0,8,9,110,290,0,0,0,0,0,0,0,0,0,0
NC1-P3-S1-16s_S68,5278,167,43,2605,685,4210,4311,0,0,0,2175,0,153,0,0,969,33,248,521,0,1598,92,89,123,2,8,0,0,335,32,0,115,0,0,0,0,6,12,60,69,8,0,0,0,0,0,0,0,0,0
NC1-P4-S1-16s_S69,6846,372,28,938,1203,2160,6119,50,0,0,1421,0,254,0,0,917,45,155,531,0,2748,13,26,539,21,0,0,0,144,18,0,72,0,3,16,0,0,0,157,43,0,0,0,0,0,0,0,0,0,0
NC1-P5-S1-16s_S70,6338,194,46,1053,194,1999,6934,0,0,0,2373,0,473,0,0,1387,50,257,456,0,2505,11,8,848,7,0,0,0,192,0,0,37,0,0,37,0,0,0,84,109,0,0,0,0,0,0,0,0,0,0
NC1-P6-S1-16s_S71,5950,251,3,1906,314,2622,5454,0,0,0,2027,0,498,0,0,1352,50,252,835,0,2718,87,8,1055,8,0,0,0,650,61,0,49,0,0,50,0,0,0,126,160,7,0,0,0,0,0,0,0,0,0
ND1-P1-S1-16s_S145,5100,110,24,1116,695,4858,3716,606,23,11,1290,0,124,0,0,383,19,135,299,0,1024,16,10,1292,11,0,0,0,111,0,0,27,0,0,0,0,0,22,28,15,0,0,0,0,0,0,0,0,0,0
ND1-P2-S1-16s_S146,5913,188,136,1569,1199,4326,4327,722,16,0,1266,0,155,0,0,977,0,73,383,0,1415,0,0,1099,3,0,0,0,36,0,0,48,0,0,0,0,0,18,143,61,0,0,2,0,0,0,0,0,0,0
ND1-P3-S1-16s_S147,5091,21,89,1251,739,3612,3569,503,0,0,792,0,114,0,0,787,7,107,231,24,801,35,11,1109,5,2,0,0,154,10,0,21,0,0,0,0,13,0,175,28,0,0,0,0,0,0,0,0,0,0
ND1-P4-S1-16s_S148,4763,15,22,1129,1506,5223,4446,534,0,0,1346,0,135,0,0,657,11,76,411,0,885,9,0,647,76,4,0,0,68,0,0,31,0,0,0,0,0,6,197,0,0,0,0,0,0,8,0,0,0,0
ND1-P5-S1-16s_S149,4425,0,50,1096,956,6168,3586,638,0,0,1171,0,65,0,0,686,15,216,383,0,752,32,11,880,17,0,0,0,39,0,5,57,0,0,15,0,0,7,124,41,0,0,0,0,0,0,0,0,0,0
ND1-P6-S1-16s_S150,4340,9,25,978,1106,4662,3737,517,0,3,1075,0,105,0,0,521,0,218,491,0,541,37,0,831,45,0,0,0,158,0,0,77,0,0,0,0,0,6,271,0,0,0,0,0,0,0,0,0,0,0
NE1-P1-S1-16s_S115,5076,171,28,972,1250,5543,5575,147,0,0,844,0,67,0,0,726,11,276,222,0,2441,56,10,751,111,0,0,2,23,0,0,54,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
NE1-P2-S1-16s_S116,3448,179,13,959,693,4486,4522,78,0,0,821,0,142,0,0,734,11,225,465,0,2646,9,0,664,3,9,0,0,54,0,0,78,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
NE1-P3-S1-16s_S117,6489,135,129,860,2417,7518,5247,161,0,0,1190,0,186,0,0,858,25,230,598,0,3613,24,0,1204,10,16,0,0,205,0,0,69,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
NE1-P4-S1-16s_S118,4734,264,15,1279,1489,6947,5820,212,0,0,1197,0,229,0,0,762,31,121,671,0,4079,25,0,690,7,0,0,0,104,0,0,134,0,2,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0
NE1-P5-S1-16s_S119,4351,216,5,785,1846,6219,3893,95,0,0,958,0,198,0,0,689,113,192,385,33,2949,15,0,807,4,20,0,6,53,0,0,143,6,0,0,0,0,12,74,0,0,0,0,0,0,0,0,0,0,0
NE1-P6-S1-16s_S120,2648,116,6,529,586,3025,3497,85,0,0,948,0,151,0,0,687,0,93,298,0,1991,11,0,746,3,0,0,0,57,0,0,40,0,0,0,0,3,10,134,12,0,0,0,0,0,0,0,0,0,0
NE2-P1-S1-16s_S133,3168,12,48,1279,189,5855,2797,150,0,0,408,0,47,0,0,750,0,27,97,0,454,0,0,554,11,0,0,0,14,0,0,20,0,2,0,0,0,0,29,51,0,0,0,0,0,0,0,0,0,0
NE2-P2-S1-16s_S134,4835,7,162,873,1029,3631,3250,203,0,0,448,0,10,0,0,495,3,128,0,0,383,13,0,2389,19,9,0,3,0,0,0,73,0,0,0,0,0,0,98,11,0,8,0,0,0,0,0,0,0,0
NE2-P3-S1-16s_S135,5015,58,86,802,479,4100,3167,70,0,0,793,0,70,0,0,656,14,93,169,0,537,0,0,1910,0,0,0,0,6,0,0,54,0,0,0,0,0,0,71,44,0,0,0,0,0,0,0,0,0,0
