SampleID,Ecotype,Location,Lat,Long,Faith,Shannon ,Sobs
NC1-P1_S63,Wet,NC,35.45036,-80.47287,51.56393688,8.580604284,513
NC1-P2_S64,Wet,NC,35.45036,-80.47287,56.32316623,8.584447314,507
NC1-P3_S65,Wet,NC,35.45036,-80.47287,75.84127101,9.392531841,885
NC1-P4_S66,Wet,NC,35.45036,-80.47287,106.7711021,10.06310631,1407
NC1-P5_S67,Wet,NC,35.45036,-80.47287,77.02729853,8.994934496,876
NC1-P6_S68,Wet,NC,35.45036,-80.47287,84.8942572,9.262029411,844
ND1-P1_S139,Dry,ND,46.39291,-97.3007,88.52727702,9.53901318,992
ND1-P2_S140,Dry,ND,46.39291,-97.3007,80.90760318,9.138334539,786
ND1-P3_S141,Dry,ND,46.39291,-97.3007,65.20498087,8.812901324,610
ND1-P4_S142,Dry,ND,46.39291,-97.3007,89.08207384,9.787560601,1130
ND1-P5_S143,Dry,ND,46.39291,-97.3007,78.00670753,9.287843778,849
ND1-P6_S144,Dry,ND,46.39291,-97.3007,70.33003479,9.09848352,741
NE1-P1_S109,Wet,NE1,40.86996,-96.805849,66.13329567,8.864694012,637
NE1-P2_S110,Wet,NE1,40.86996,-96.805849,52.95318713,8.658367136,541
NE1-P5_S113,Wet,NE1,40.86996,-96.805849,68.41425834,9.148287437,763
NE1-P6_S114,Wet,NE1,40.86996,-96.805849,78.48384507,9.146655232,780
NE2-P1_S127,Dry,NE2,42.7529,-98.0659,64.07903054,8.791790388,608
NE2-P2_S128,Dry,NE2,42.7529,-98.0659,56.32555862,8.692036753,552
NE2-P3_S129,Dry,NE2,42.7529,-98.0659,63.56824463,8.895651361,651
NE2-P4_S130,Dry,NE2,42.7529,-98.0659,61.75398728,9.077523008,705
NE2-P5_S131,Dry,NE2,42.7529,-98.0659,67.26826729,8.996907392,686
NE2-P6_S132,Dry,NE2,42.7529,-98.0659,66.45609509,8.958981393,685
NM1-P2_S39,Dry,NM,36.583429,-103.14577,77.61025975,9.181703539,802
NM1-P3_S40,Dry,NM,36.583429,-103.14577,70.35924271,9.108648482,755
NM1-P6_S41,Dry,NM,36.583429,-103.14577,76.00131288,9.289561847,882
OK1-P1_S48,Dry,NM,35.748514,-99.71402,80.04539749,8.972275715,784
OK1-P2_S49,Dry,NM,35.748514,-99.71402,76.47089376,9.108700557,793
OK1-P3_S50,Dry,NM,35.748514,-99.71402,79.73484605,9.220179989,822
OK1-P4_S51,Dry,OK,35.748514,-99.71402,72.72753336,9.300127222,844
OK1-P5_S52,Dry,OK,35.748514,-99.71402,68.77416913,9.027343012,711
OK1-P6_S53,Dry,OK,35.748514,-99.71402,76.18617233,9.004598803,755
SC1-P1_S92,Wet,SC,34.6880135,-80.13046,93.76949878,9.27568203,876
SC1-P2_S93,Wet,SC,34.6880135,-80.13046,80.46856095,9.015957334,742
SC1-P3_S94,Wet,SC,34.6880135,-80.13046,128.1591629,9.50801778,1173
SC1-P4_S95,Wet,SC,34.6880135,-80.13046,79.65267814,9.197817656,801
SC1-P5_S96,Wet,SC,34.6880135,-80.13046,82.19515067,9.237566174,816
SC1-P6_S97,Wet,SC,34.6880135,-80.13046,78.00315922,9.13259626,764
SD1-P1_S115,Dry,SD,45.102916,-103.07941,84.58499866,9.221354604,837
SD1-P2_S116,Dry,SD,45.102916,-103.07941,77.84971849,9.094546238,756
SD1-P3_S117,Dry,SD,45.102916,-103.07941,71.25563715,9.107866468,731
SD1-P4_S118,Dry,SD,45.102916,-103.07941,73.40437501,9.055866008,753
SD1-P5_S119,Dry,SD,45.102916,-103.07941,63.97395354,8.95774899,671
SD1-P6_S120,Dry,SD,45.102916,-103.07941,70.68433434,9.083842407,735
TX1-P1_S57,Wet,TX1,33.736177,-95.98353,67.12143255,8.639946548,575
TX1-P2_S58,Wet,TX1,33.736177,-95.98353,66.70078963,8.691188069,577
