SampleID,Wet,Dry,Mesic,Uncategorized
AL1,3,0,0,2
CO1,0,6,0,0
IA1,3,0,1,2
IL1,6,0,0,0
IN1,6,0,0,0
KS1,2,0,4,0
KS2,0,6,0,0
LA1,3,0,0,0
MI1,4,0,0,2
MN1,0,6,0,0
MO1,6,0,0,0
MS1,6,0,0,0
MT1,0,6,0,0
NC1,5,0,0,1
ND1,0,6,0,0
NE1,4,0,0,0
NE2,0,6,0,0
NM1,0,3,0,0
OK1,0,6,0,0
SC1,5,0,0,1
SD1,0,6,0,0
TX1,6,0,0,0
TX2,5,0,0,1
TX3,0,6,0,0
WI1,4,0,0,1
