SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
LA1-P6_S56,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.05068,16.7,2.09,LA1
MI1-P1_S14,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MI1-P2_S15,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MI1-P3_S16,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MI1-P4_S17,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MI1-P5_S2,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MI1-P6_S18,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.17216,-85.766226,11.1,1.85,MI1
MN1-P1_S145,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MN1-P2_S146,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MN1-P3_S147,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MN1-P4_S148,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MN1-P5_S149,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MN1-P6_S150,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.10987,-96.144878,9.71,1.67,MN1
MO1-P1_S87,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MO1-P2_S88,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MO1-P3_S89,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MO1-P4_S90,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MO1-P5_S7,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MO1-P6_S91,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.94861,-91.99472,12.8,1.97,MO1
MS1-P1_S33,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MS1-P2_S34,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MS1-P3_S35,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MS1-P4_S36,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MS1-P5_S37,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MS1-P6_S38,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.74629,17.3,2.98,MS1
MT1-P1_S133,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
MT1-P2_S134,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
MT1-P3_S135,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
MT1-P4_S136,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
MT1-P5_S137,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
MT1-P6_S138,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.4124,7.08,0.94,MT1
NC1-P1_S63,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
NC1-P2_S64,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
NC1-P3_S65,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
NC1-P4_S66,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
NC1-P5_S67,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
NC1-P6_S68,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.45036,-80.47287,13.3,2.38,NC1
ND1-P1_S139,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
ND1-P2_S140,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
ND1-P3_S141,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
ND1-P4_S142,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
ND1-P5_S143,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
ND1-P6_S144,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.39291,-97.3007,8.73,1.16,ND1
NE1-P1_S109,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE1-P2_S110,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE1-P3_S111,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE1-P4_S112,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE1-P5_S113,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE1-P6_S114,NE1,Wet,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.86996,-96.805849,11.5,1.49,NE1
NE2-P1_S127,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NE2-P2_S128,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NE2-P3_S129,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NE2-P4_S130,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NE2-P5_S131,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NE2-P6_S132,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.41,NE2
NM1-P2_S39,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.94,NM1
NM1-P3_S40,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.94,NM1
NM1-P6_S41,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.94,NM1
OK1-P1_S48,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
OK1-P2_S49,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
