"ASV","Comparison","t_stat","p_value"
"Cyanobacteria","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",0.868391496525625,0.409108960907918
"Sva0485","Wet-Soil vs. Dry-Soil",NA,NA
"Sva0485","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Sva0485","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Sva0485","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Sva0485","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Desulfobacterota","Wet-Soil vs. Dry-Soil",1.73021582733813,0.333625611722579
"Desulfobacterota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Desulfobacterota","Dry-Soil vs. Dry-Rhizobiome",1.73021582733813,0.333625611722579
"Desulfobacterota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Desulfobacterota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",-0.743354835060428,0.466576371725522
"Verrucomicrobiota","Wet-Soil vs. Dry-Soil",NA,NA
"Verrucomicrobiota","Wet-Rhizobiome vs. Dry-Rhizobiome",0.831368763956737,0.555144890001453
"Verrucomicrobiota","Dry-Soil vs. Dry-Rhizobiome",2.40712223291627,0.250662791857721
"Verrucomicrobiota","Wet-Soil vs. Wet-Rhizobiome",1.13298689027991,0.460359513338717
"Verrucomicrobiota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",0.382047423515692,0.720652303589226
"Nitrospirota","Wet-Soil vs. Dry-Soil",NA,NA
"Nitrospirota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Nitrospirota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Nitrospirota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Nitrospirota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Acidobacteriota","Wet-Soil vs. Dry-Soil",NA,NA
"Acidobacteriota","Wet-Rhizobiome vs. Dry-Rhizobiome",2.29679848344717,0.148473949414116
"Acidobacteriota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Acidobacteriota","Wet-Soil vs. Wet-Rhizobiome",2.29679848344717,0.148473949414116
"Acidobacteriota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",-2.62655686684373,0.0131637513082194
"Dependentiae","Wet-Soil vs. Dry-Soil",NA,NA
"Dependentiae","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Dependentiae","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Dependentiae","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Dependentiae","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Latescibacterota","Wet-Soil vs. Dry-Soil",NA,NA
"Latescibacterota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Latescibacterota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Latescibacterota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Latescibacterota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Iainarchaeota","Wet-Soil vs. Dry-Soil",NA,NA
"Iainarchaeota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Iainarchaeota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Iainarchaeota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Iainarchaeota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Nanoarchaeota","Wet-Soil vs. Dry-Soil",NA,NA
"Nanoarchaeota","Wet-Rhizobiome vs. Dry-Rhizobiome",1.42696629213483,0.389136526442771
"Nanoarchaeota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Nanoarchaeota","Wet-Soil vs. Wet-Rhizobiome",1.42696629213483,0.389136526442771
"Nanoarchaeota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",6.01863354037267,0.104817271722655
"Bdellovibrionota","Wet-Soil vs. Dry-Soil",NA,NA
"Bdellovibrionota","Wet-Rhizobiome vs. Dry-Rhizobiome",9.67002099542784,0.0105255778095456
"Bdellovibrionota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Bdellovibrionota","Wet-Soil vs. Wet-Rhizobiome",9.67002099542784,0.0105255778095456
"Bdellovibrionota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"WS1","Wet-Soil vs. Dry-Soil",NA,NA
"WS1","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"WS1","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"WS1","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"WS1","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Deinococcota","Wet-Soil vs. Dry-Soil",NA,NA
"Deinococcota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Deinococcota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Deinococcota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Deinococcota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
