SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
KS2-P5-S1-16s_S131,KS2,Dry,7.7,7.5,9,223,0.11,0.5,4.7,43,40,17,38.743278,-99.773033,9.21,1.196103896,KS2
KS2-P6-S1-16s_S132,KS2,Dry,7.7,7.5,9,223,0.11,0.5,4.7,43,40,17,38.743278,-99.773033,9.21,1.196103896,KS2
LA1-P1-S1-16s_S54,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
LA1-P2-S1-16s_S55,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
LA1-P3-S1-16s_S56,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
LA1-P4-S1-16s_S57,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
LA1-P5-S2-16s_S58,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
LA1-P6-S2-16s_S59,LA,Wet,8,7.6,23,212,0.14,4.77,33.4,14,73,13,32.605491,-92.050677,16.7,2.0875,LA1
MI1-P1-S1-16s_S7,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MI1-P2-S1-16s_S8,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MI1-P3-S1-16s_S9,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MI1-P4-S1-16s_S10,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MI1-P5-S2-16s_S11,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MI1-P6-S2-16s_S12,MI,Wet,6,6.9,67,108,0.15,1.24,8.4,67,19,14,42.172156,-85.766226,11.1,1.85,MI1
MN1-P1-S1-16s_S151,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MN1-P2-S1-16s_S152,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MN1-P3-S1-16s_S153,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MN1-P4-S1-16s_S154,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MN1-P5-S1-16s_S155,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MN1-P6-S1-16s_S156,MN,Dry,5.8,6.5,52,223,0.22,2.68,12,31,52,17,47.109869,-96.144878,9.71,1.674137931,MN1
MO1-P1-S1-16s_S90,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MO1-P2-S1-16s_S91,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MO1-P3-S1-16s_S93,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MO1-P4-S1-16s_S94,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MO1-P5-S1-16s_S95,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MO1-P6-S1-16s_S96,MO,Wet,6.5,7,44,152,0.39,8.47,21.7,22,70,8,38.948611,-91.994722,12.8,1.969230769,MO1
MS1-P1-S1-16s_S31,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MS1-P2-S1-16s_S32,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MS1-P3-S1-16s_S157,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MS1-P4-S1-16s_S33,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MS1-P5-S1-16s_S34,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MS1-P6-S1-16s_S35,MS,Wet,5.8,6.6,11,181,0.35,4.77,13.5,48,46,6,33.95517,-89.746286,17.3,2.982758621,MS1
MT1-P1-S1-16s_S139,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
MT1-P2-S1-16s_S140,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
MT1-P3-S1-16s_S141,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
MT1-P4-S1-16s_S142,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
MT1-P5-S1-16s_S143,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
MT1-P6-S1-16s_S144,MT,Dry,7.5,7.4,6,201,0.58,9.48,16.3,32,50,18,45.26039,-105.41237,7.08,0.944,MT1
NC1-P1-S1-16s_S66,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
NC1-P2-S1-16s_S67,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
NC1-P3-S1-16s_S68,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
NC1-P4-S1-16s_S69,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
NC1-P5-S1-16s_S70,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
NC1-P6-S1-16s_S71,NC,Wet,5.6,6.6,3,43,0.26,3.2,12.2,22,28,50,35.450356,-80.472867,13.3,2.375,NC1
ND1-P1-S1-16s_S145,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
ND1-P2-S1-16s_S146,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
