ASV,Comparison,t_stat,p_value,Log2_Fold_Change
Desulfobacterota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,-0.743354835,0.466576372,-0.335228009
Planctomycetota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,0.7473995,0.474367038,0.27576099
Chloroflexi,Wet-Soil vs. Wet-Rhizobiome,0.731828125,0.483261238,0.891484977
Firmicutes,Dry-Soil vs. Dry-Rhizobiome,0.970738646,0.508438878,2.603079351
Firmicutes,Wet-Soil vs. Dry-Soil,-0.958083983,0.5131024,-2.504295893
Bacteroidota,Dry-Soil vs. Dry-Rhizobiome,0.66130861,0.527654442,0.517427743
Verrucomicrobiota,Wet-Rhizobiome vs. Dry-Rhizobiome,0.831368764,0.55514489,1.930990616
Patescibacteria,Wet-Rhizobiome vs. Dry-Rhizobiome,0.681074409,0.558723836,0.54288792
Proteobacteria,Dry-Soil vs. Dry-Rhizobiome,0.56470995,0.587691809,0.317035494
Proteobacteria,Wet-Soil vs. Wet-Rhizobiome,0.5446648,0.603837904,0.334102636
Proteobacteria,Wet-Rhizobiome vs. Dry-Rhizobiome,0.452505141,0.651497244,0.100189644
Bacteroidota,Wet-Soil vs. Wet-Rhizobiome,0.427204974,0.683161789,0.359355169
Verrucomicrobiota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,0.382047424,0.720652304,0.531493159
Bacteroidota,Wet-Rhizobiome vs. Dry-Rhizobiome,0.231300937,0.81874138,0.123825527
Firmicutes,Wet-Soil vs. Wet-Rhizobiome,0.192403254,0.848455175,0.087202067
Proteobacteria,Wet-Soil vs. Dry-Soil,0.161386926,0.874422938,0.117256786
Cyanobacteria,Wet-Soil vs. Dry-Soil,0.152614008,0.884681133,0.109133317
Cyanobacteria,Dry-Soil vs. Dry-Rhizobiome,-0.130936801,0.900385422,-0.146298525
Actinobacteriota,Wet-Soil vs. Wet-Rhizobiome,0.11803613,0.919538477,0.131859346
Bacteroidota,Wet-Soil vs. Dry-Soil,-0.037638871,0.970732852,-0.034247047
Firmicutes,Wet-Rhizobiome vs. Dry-Rhizobiome,0.020285969,0.984015494,0.01158139
Abditibacteriota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Abditibacteriota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Abditibacteriota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Abditibacteriota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Abditibacteriota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Acidobacteriota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Acidobacteriota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Aenigmarchaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Aenigmarchaeota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Aenigmarchaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Aenigmarchaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
